sample_id	total_r1_proper	mapq30	len_50_600	len_lt50	len_gt600	duplicates	percent_mapq30	percent_len_50_600_of_mapq30	group	percent_lt50_of_mapq30	percent_gt600_of_mapq30	percent_duplicates_of_total
seq061868	38398909	38398909	38398909	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061870	36682418	36682418	36682418	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061872	35715240	35715240	35715091	149	0	0	100	99.9996	cancer	0.0004171888527138555	0.0	0.0
seq061874	33712196	33712196	33712196	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061875	34302407	34302407	34302407	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061877	34178766	34178766	34178766	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061878	40528371	40528371	40528371	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061880	27762423	27762423	27762423	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061883	30024754	30024754	30024754	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061885	30676729	30676729	30625420	51309	0	0	100	99.8327	cancer	0.16725707620261598	0.0	0.0
seq061889	36924806	36924806	36924806	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061891	31878509	31878509	31878509	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061892	27942656	27942656	27942656	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061893	29492336	29492336	29492336	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061894	30871352	30871352	30871352	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061895	28401119	28401119	28401119	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061896	35722151	35722151	35722151	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061897	30070387	30070387	30070387	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061898	33453402	33453402	33453402	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061899	34181904	34181904	34181904	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061900	34225189	34225189	34225189	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061901	29934885	29934885	29934885	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061902	30877948	30877948	30877948	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061903	32093645	32093645	32093645	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061904	33620437	33620437	33607601	12836	0	0	100	99.9618	cancer	0.03817915870635471	0.0	0.0
seq061905	25944245	25944245	25944245	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061907	37043032	37043032	37043032	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061908	34002569	34002569	34002569	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061909	28438360	28438360	28438360	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061910	31328741	31328741	31318207	10534	0	0	100	99.9664	cancer	0.03362407700966981	0.0	0.0
seq061911	28755934	28755934	28755934	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061912	34867108	34867108	34867108	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061913	33042180	33042180	33042180	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061915	34421735	34421735	34421735	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061916	22502427	22502427	22444411	23795	34221	0	100	99.7422	cancer	0.1057441492866525	0.15207692930189265	0.0
seq061917	35382671	35382671	35382671	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061918	37581291	37581291	37581291	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061919	31245945	31245945	31245945	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061920	35562260	35562260	35521540	40720	0	0	100	99.8855	cancer	0.11450340895094968	0.0	0.0
seq061921	29985742	29985742	29985742	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061923	33747186	33747186	33747186	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061924	31308968	31308968	31298884	10084	0	0	100	99.9678	cancer	0.03220802423126818	0.0	0.0
seq061925	30449715	30449715	30449580	135	0	0	100	99.9996	cancer	0.00044335390331239554	0.0	0.0
seq061927	30916267	30916267	30916267	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061928	35046532	35046532	35046532	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061930	30987576	30987576	30987576	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061931	28289864	28289864	28289864	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061933	33632703	33632703	33426792	205911	0	0	100	99.3878	cancer	0.612234467149429	0.0	0.0
seq061934	33624143	33624143	33624143	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq061935	29220849	29220849	29220849	0	0	0	100	100.0	cancer	0.0	0.0	0.0
seq062779	22813349	22813349	22741848	71501	0	0	100	99.6866	cancer	0.31341737681740633	0.0	0.0
seq062780	33329945	33329945	33271856	58089	0	0	100	99.8257	cancer	0.1742847160413856	0.0	0.0
seq062781	27542111	27542111	27455189	86922	0	0	100	99.6844	cancer	0.3155967238676803	0.0	0.0
